dni_socio,nombre,apell1,apell2,direccion,correo_e,cod_postal_cod_postal,sede_idsede,evento_cod_evento,cuota_tipo,cuota_importe,cuota_cc
46539250S,Velasco,Nunez,Julio ,Cuesta Lorem ipsum dolor 276A 14C,'nunez.velasco@correo.com',32701,9,,mensual,10,DK6988299842527195
00889423J,Martinez,Vicente,Alicia ,Canada Lorem 29B 12E,'vicente.martinez@correo.com',8698,4,,trimestral,50,EE416702219844182076
05255978H,Rubio,Herrera,Juan Luis,Via Lorem 118A 14F,'herrera.rubio@correo.com',27529,9,,anual,100,EE816382882633746409
80633670V,Pascual,Herrera,Victoria ,Plaza Lorem 3A 7A,'herrera.pascual@correo.com',25512,6,,mensual,50,EE035815981173988529
65396680K,Ramos,Ortega,Iker ,Travesia Lorem ipsum dolor sit 202B,'ortega.ramos@correo.com',35520,3,,mensual,10,EE150595733987082728
60200698S,Ortega,Cano,Olga ,Cuesta Lorem 158 1E,'cano.ortega@correo.com',12314,3,,mensual,5,EE605409451030627522
45509899Y,Esteban,Cabrera,Laura ,Carrer Lorem ipsum 20 7G,'cabrera.esteban@correo.com',15841,3,,mensual,15,FO1593707486505366
12166338M,Saez,Morales,Luis ,Travesia Lorem ipsum dolor sit 32A 17H,'morales.saez@correo.com',13113,6,,trimestral,5,FO5006907768039839
35572933Y,Diaz,Santos,Adrian ,Pasaje Lorem 7A 5H,'santos.diaz@correo.com',10370,13,,anual,15,FO9378537341306148
57185766S,Diez,Vargas,Mario ,Pasadizo Lorem ipsum dolor sit 82A 16H,'vargas.diez@correo.com',12489,14,,mensual,10,FO4068759083981752
18366481S,Alvarez,Mora,Paula ,Cuesta Lorem ipsum 193A 7D,'mora.alvarez@correo.com',23006,18,,mensual,5,FO0905894981715676
17153598Z,Martinez,Carmona,Maria Isabel,Canada Lorem ipsum dolor sit 183A 18F,'carmona.martinez@correo.com',10818,12,17,mensual,5,FI8709549333658747
14106406T,Martinez,Ortega,Felix ,Paseo Lorem 13A 18F,'ortega.martinez@correo.com',42108,5,6,mensual,5,FI1518471099159022
24426429S,Montero,Montero,Paula ,Callejon Lorem ipsum dolor 57 5H,'montero.montero@correo.com',6518,2,4,trimestral,5,FI0589161476500751
05353291H,Vicente,Gimenez,Jordi ,Plaza Lorem ipsum 123A 18E,'gimenez.vicente@correo.com',46179,7,15,anual,5,FI8433982173935580
71396833A,Cruz,Lopez,Juan Manuel,Pasaje Lorem ipsum dolor sit 256A 11G,'lopez.cruz@correo.com',36844,18,6,mensual,10,FI7954405150189238
68723434D,Vidal,Garrido,Martin ,Urbanizacion Lorem 48B 8E,'garrido.vidal@correo.com',13196,18,10,mensual,10,FR4197944644738285027717680
52320967S,Dominguez,Arias,Natalia ,Calle Lorem ipsum 188A 18C,'arias.dominguez@correo.com',13700,5,10,mensual,50,FR9476231310567227640169067
76049444J,Gimenez,Sanchez,Miguel ,Pasaje Lorem ipsum dolor sit 175A,'sanchez.gimenez@correo.com',45644,7,16,mensual,100,FR6888474339535547405026268
96369222G,Velasco,Alvarez,Jose Ramon,Urbanizacion Lorem ipsum dolor sit 8 17H,'alvarez.velasco@correo.com',21750,4,6,trimestral,50,FR3007344050937354660134854
82532022H,Munoz,Iglesias,Raul ,Plaza Lorem ipsum dolor 8 8G,'iglesias.munoz@correo.com',40310,1,17,anual,10,FR8547764510959591053030050
39983255D,Castillo,Delgado,Emilia ,Via Lorem 296 14H,'delgado.castillo@correo.com',32760,7,17,mensual,5,PF8169352568136984283973639
15547344B,Parra,Gallego,Daniela ,C. Comercial Lorem ipsum 19,'gallego.parra@correo.com',27558,7,18,mensual,15,PF1021725003919279759512045
14139254G,Sanchez,Esteban,Maria Josefa,Avenida Lorem 223A 6H,'esteban.sanchez@correo.com',32707,14,4,mensual,5,PF9067348885442846702112667
90387849B,Velasco,Aguilar,Jose Ramon,Pasaje Lorem ipsum dolor sit 223A 4G,'aguilar.velasco@correo.com',25221,6,2,mensual,15,PF2110055440192380776287331
94337565Y,Lorenzo,Navarro,Juan ,Camino Lorem ipsum dolor 93B 5D,'navarro.lorenzo@correo.com',9294,15,,trimestral,10,PF4462138104308037716665461
03491093S,Pascual,Diaz,Agustin ,Urbanizacion Lorem ipsum dolor 91A 2E,'diaz.pascual@correo.com',49000,12,,anual,5,TF7369356610212036082878842
41782138Q,Santana,Gomez,Beatriz ,Avenida Lorem ipsum dolor sit 113A 4D,'gomez.santana@correo.com',15555,4,,mensual,5,TF1699071511365858327828309
35349855M,Caballero,Castillo,Francisco Javier,Canada Lorem ipsum dolor sit 166 14E,'castillo.caballero@correo.com',17845,6,,mensual,5,TF9287657455706592772258930
50933596G,Suarez,Moreno,Emilia ,Pasadizo Lorem ipsum 25B 9A,'moreno.suarez@correo.com',40512,10,,mensual,5,TF6983084059527026532259346
49358246Q,Mora,Rojas,Pilar ,Camino Lorem ipsum 136A 2C,'rojas.mora@correo.com',32789,10,,mensual,5,TF6320136548014311655407753
89887135F,Flores,Leon,Juan Carlos,Plaza Lorem ipsum dolor sit 116A 14C,'leon.flores@correo.com',18518,11,,trimestral,10,DE06495352657836424132
97861282P,Delgado,Fuentes,Maria Luisa,Carrer Lorem ipsum 111 4C,'fuentes.delgado@correo.com',27824,4,,anual,10,DE09121688720378475751
87372566M,Diez,Campos,Francisca ,Callejon Lorem ipsum 153A 4D,'campos.diez@correo.com',16470,6,,mensual,50,DE88516399675378845887
05583396P,Ortiz,Velasco,Gloria ,Avenida Lorem ipsum 205A,'velasco.ortiz@correo.com',37111,18,,mensual,100,DE42187384985716759572
19810909C,Dominguez,Guerrero,Hugo ,Callejon Lorem ipsum dolor 2 16D,'guerrero.dominguez@correo.com',41003,16,,mensual,50,DE04399340668928275395
53025776N,Calvo,Gutierrez,Antonio ,Carrera Lorem ipsum 4B 6F,'gutierrez.calvo@correo.com',48130,12,,mensual,10,GI84YQVE742322843673354
48120467M,Hidalgo,Gonzalez,Silvia ,Plaza Lorem ipsum dolor sit 254B,'gonzalez.hidalgo@correo.com',16192,7,,trimestral,5,GI50TRZE832226672231136
72201082B,Gomez,Castillo,Hugo ,Via Lorem 92 2D,'castillo.gomez@correo.com',16111,2,,anual,15,GI96DQBV940980418323607
83314049E,Mora,Caballero,Mario ,Canada Lorem ipsum dolor sit 271,'caballero.mora@correo.com',46225,4,,mensual,5,GI12MTEJ300936244995281
98433367Z,Castro,Vargas,Fernando ,Carretera Lorem ipsum dolor sit 220 16H,'vargas.castro@correo.com',50400,9,,mensual,15,GI50NKEA869461619367593
76701993Y,Blanco,Rubio,Alba ,Urbanizacion Lorem ipsum dolor 50B 11G,'rubio.blanco@correo.com',35229,11,,mensual,10,GE27JX0363248286073573
21175691M,Fernandez,Diaz,Sandra ,Ronda Lorem ipsum 103A 7E,'diaz.fernandez@correo.com',31460,11,,mensual,5,GE95PE2036699405919650
37391122E,Rodriguez,Vicente,Cristina ,Carrera Lorem ipsum dolor 172 3F,'vicente.rodriguez@correo.com',32453,9,,trimestral,5,GE86WI1894058889642409
50880576E,Lorenzo,Ortiz,Gonzalo ,Canada Lorem 219 16C,'ortiz.lorenzo@correo.com',44590,6,,anual,5,GE50ZK0956993434292828
19832112V,Vazquez,Garrido,Maria Jesus,Avenida Lorem ipsum dolor sit 297A,'garrido.vazquez@correo.com',42128,14,,mensual,5,GE60VX8276008964044900
95620160Y,Alonso,Duran,Maria Mar,Urbanizacion Lorem ipsum dolor 56B 13A,'duran.alonso@correo.com',5418,12,,mensual,5,GR8206922880502260960449182
10171279N,Diez,Leon,Jose Francisco,Calle Lorem ipsum dolor 91B 17G,'leon.diez@correo.com',31791,11,,mensual,10,GR0708312360607104632724143
65745903N,Roman,Velasco,Maria Mar,Urbanizacion Lorem 51 7A,'velasco.roman@correo.com',48291,5,,mensual,10,GR3019549951345337224826989
78399567L,Saez,Marquez,Irene ,Alameda Lorem ipsum dolor sit 121 9B,'marquez.saez@correo.com',6710,3,,trimestral,50,GR1850333105485787816165828
76383525L,Calvo,Ibanez,Alejandra ,Ronda Lorem 286B,'ibanez.calvo@correo.com',20006,18,,anual,100,GR3328425960116597801941217
24742827W,Sanchez,Morales,Rosario ,Travesia Lorem ipsum dolor 98B,'morales.sanchez@correo.com',50000,7,,mensual,50,GL3357098231928641
43266010C,Mora,Gallardo,Ruben ,Alameda Lorem ipsum dolor 210B,'gallardo.mora@correo.com',45181,4,,mensual,10,GL7672801402871438
34422930A,Gallego,Arias,Alba ,Canada Lorem ipsum 76B 3H,'arias.gallego@correo.com',39314,5,,mensual,5,GL8576657033000228
56777884S,Carrasco,Saez,Emilio ,Carrer Lorem ipsum dolor 195B,'saez.carrasco@correo.com',34488,4,,mensual,15,GL7533425696727320
03313837C,Lorenzo,Fernandez,Jaime ,Camino Lorem ipsum 151 15B,'fernandez.lorenzo@correo.com',24330,9,,trimestral,5,GL3145184332080211
19503176G,Moya,Suarez,Felix ,Calle Lorem ipsum dolor sit 115B 5A,'suarez.moya@correo.com',47114,5,,anual,15,HU53165228954563006441576439
22104965X,Dominguez,Suarez,Pedro ,Carrera Lorem ipsum dolor 183A,'suarez.dominguez@correo.com',17752,14,,mensual,10,HU61442178338678431742505774
97477024B,Saez,Medina,Maria Jesus,Via Lorem ipsum dolor sit 64B 7F,'medina.saez@correo.com',44360,4,,mensual,5,HU64774233934011029174507108
69502479K,Gil,Ortega,Marc ,Via Lorem ipsum dolor 244,'ortega.gil@correo.com',25693,12,,mensual,5,HU79689064758089616754511009
45675803B,Marin,Hidalgo,Maria Carmen,Callejon Lorem ipsum dolor 240B 15H,'hidalgo.marin@correo.com',45512,1,,mensual,5,HU60873329200412252359645504
55051309G,Gimenez,Marin,Susana ,C. Comercial Lorem ipsum dolor sit 178 9C,'marin.gimenez@correo.com',28620,11,,trimestral,5,IS098954934397185843549690
32277609F,Reyes,Vazquez,Isabel ,Camino Lorem ipsum 181A,'vazquez.reyes@correo.com',50294,14,,anual,5,IS367580035808668402924142
63173651B,Vega,Vazquez,Mario ,Pasaje Lorem 101B 1G,'vazquez.vega@correo.com',16521,10,,mensual,10,IS179684724271989278617740
70341087A,Santos,Felip,Julia ,Carretera Lorem ipsum dolor sit 95B 20F,'felip.santos@correo.com',30420,9,,mensual,10,IS846240236716627404368872
18495877J,Sanz,Hernandez,Maria Luisa,Carrer Lorem ipsum dolor sit 129A 3H,'hernandez.sanz@correo.com',8777,4,,mensual,50,IS521951362135843206164749
08166320D,Martin,Benitez,David ,Alameda Lorem 214A 14D,'benitez.martin@correo.com',15999,15,,mensual,100,IE49BENI35972029450251
88646916V,Gutierrez,Bravo,Sebastian ,C. Comercial Lorem ipsum dolor sit 99 16F,'bravo.gutierrez@correo.com',36309,9,,trimestral,50,IE37OGUG54280567980573
37143458E,Bravo,Medina,Gabriel ,Plaza Lorem 88B 1B,'medina.bravo@correo.com',38686,14,,anual,10,IE43DCUZ91231044680662
19149655Q,Suarez,Romero,Ana Belen,Cuesta Lorem ipsum 274,'romero.suarez@correo.com',48311,7,,mensual,5,IE15AAKO11199097933967
70486702M,Flores,Ramirez,Julia ,Travesia Lorem 130B 20G,'ramirez.flores@correo.com',32235,18,8,mensual,15,IE77PIHS49175290558839
43875709N,Suarez,Benitez,Mario ,Carrera Lorem ipsum 62 9G,'benitez.suarez@correo.com',31280,11,4,mensual,5,IL454322198734138455151
49070920Y,Marquez,Medina,Esther ,Pasaje Lorem ipsum 81,'medina.marquez@correo.com',18815,14,20,mensual,15,IL839799606658366056087
62967289M,Perez,Marin,Ricardo ,Canada Lorem 275A,'marin.perez@correo.com',38610,16,13,trimestral,10,IL038569613554041996868
52624643E,Nunez,Herrera,Montserrat ,Glorieta Lorem 242,'herrera.nunez@correo.com',8513,17,10,anual,5,IL813919026399312117293
24489353B,Fuentes,Gallego,Maria Pilar,Avenida Lorem ipsum 20A 10E,'gallego.fuentes@correo.com',10720,8,13,mensual,5,IL654645042217944600527
33876069J,Calvo,Castro,Ainhoa ,Carrer Lorem ipsum dolor sit 260B,'castro.calvo@correo.com',3812,5,12,mensual,5,IT85M5508898545109326040966
30415134A,Blanco,Felip,Ricardo ,Urbanizacion Lorem 162 3G,'felip.blanco@correo.com',33595,8,19,mensual,5,IT52G4674641537627600627273
36706361V,Saez,Benitez,Dolores ,Paseo Lorem ipsum 215B 15E,'benitez.saez@correo.com',26222,7,10,mensual,5,IT54K9621595703270001697912
93882252R,Gomez,Cruz,Samuel ,Paseo Lorem 65,'cruz.gomez@correo.com',35071,14,2,trimestral,10,IT02F7240326523239438656917
32601563Y,Ruiz,Soler,Juana ,Paseo Lorem ipsum dolor 35A 2E,'soler.ruiz@correo.com',10865,14,4,anual,10,IT75F6444007486118207984348
51010839J,Soler,Martinez,Alex ,Calle Lorem ipsum dolor 216 18A,'martinez.soler@correo.com',2320,7,20,mensual,50,LV85QMUO0600628590552
44900297L,Diaz,Cabrera,Mercedes ,Plaza Lorem 186A,'cabrera.diaz@correo.com',3520,2,3,mensual,100,LV06FYUQ8115346663782
60518810Z,Gomez,Pena,Maria Josefa,Callejon Lorem ipsum 9B 10F,'pena.gomez@correo.com',31491,14,4,mensual,50,LV05OXNQ0057259369767
34051265H,Gonzalez,Ramirez,Jaime ,Calle Lorem ipsum dolor 39 8C,'ramirez.gonzalez@correo.com',33792,16,8,mensual,10,LV22XGHZ6356462010762
98232880H,Ruiz,Marquez,Yolanda ,Acceso Lorem ipsum dolor 119A 13B,'marquez.ruiz@correo.com',16143,8,2,trimestral,5,LV27LLIK8896580861638
27442935W,Cabrera,Munoz,Raquel ,Paseo Lorem ipsum dolor 58A 7G,'munoz.cabrera@correo.com',16415,7,7,anual,15,LB82586807590631203627574587
67879007G,Morales,Nunez,Iker ,Alameda Lorem ipsum dolor sit 62B 18G,'nunez.morales@correo.com',24123,10,10,mensual,5,LB33405622563828555835796785
04767966C,Serrano,Pena,Sergio ,Via Lorem ipsum dolor sit 173B 9G,'pena.serrano@correo.com',6228,11,15,mensual,15,LB04715710805951055803616185
60885789M,Campos,Rodriguez,Maria Nieves,Alameda Lorem ipsum 164 4E,'rodriguez.campos@correo.com',49231,8,8,mensual,10,LB61420797023022242826619522
30030182W,Gomez,Marin,Alvaro ,Plaza Lorem ipsum 218B 2G,'marin.gomez@correo.com',50120,5,4,mensual,5,LB67864629408749872547678117
51784914T,Ibanez,Felip,Maria Pilar,Pasadizo Lorem ipsum 154A 6D,'felip.ibanez@correo.com',28800,13,14,trimestral,5,LI4091221689235313176
13207385A,Campos,Serrano,Inmaculada ,C. Comercial Lorem ipsum 50B 15G,'serrano.campos@correo.com',33404,5,2,anual,5,LI7615336074136062084
96404303X,Ramirez,Cabrera,Maria Carmen,Plaza Lorem ipsum 159B,'cabrera.ramirez@correo.com',32430,18,7,mensual,5,LI3727301137968672218
12231241W,Fernandez,Blanco,Ismael ,Avenida Lorem ipsum 95A,'blanco.fernandez@correo.com',6894,9,2,mensual,5,LI3551318446915634574
21507673M,Gutierrez,Gil,Aitor ,Ronda Lorem ipsum dolor sit 146 15H,'gil.gutierrez@correo.com',33885,17,,mensual,10,LI4705272204109186337
35523402V,Herrera,Carmona,Ainhoa ,Rambla Lorem ipsum 156B 20C,'carmona.herrera@correo.com',43528,11,,mensual,10,LT369967216439021801
46766769H,Gallardo,Ramos,Raul ,Camino Lorem ipsum dolor sit 128,'ramos.gallardo@correo.com',16432,2,,trimestral,50,LT937444321684957069
44896489Y,Martin,Dominguez,Domingo ,Rambla Lorem ipsum dolor sit 204B,'dominguez.martin@correo.com',14670,17,,anual,100,LT424971109068400772
90270992V,Arias,Calvo,Concepcion ,Avenida Lorem ipsum dolor sit 174A 3C,'calvo.arias@correo.com',30729,2,,mensual,50,LT566572547785167976
59566151S,Santiago,Soto,Rosa Maria,Travesia Lorem ipsum dolor 266 11B,'soto.santiago@correo.com',17489,7,,mensual,10,LT344806290778854389
81594098B,Garrido,Martin,Gonzalo ,Via Lorem ipsum dolor sit 143 19G,'martin.garrido@correo.com',18710,1,,mensual,5,LU292357816107922497
62904763Q,Aguilar,Martinez,Adrian ,Glorieta Lorem ipsum 239A 1F,'martinez.aguilar@correo.com',11404,1,,mensual,15,LU184883493877746720
63830685G,Pastor,Soler,Rodrigo ,Via Lorem ipsum 181 20E,'soler.pastor@correo.com',24315,3,,trimestral,5,LU850789684146586224
79209282L,Cortes,Roman,Ana ,C. Comercial Lorem 80 20B,'roman.cortes@correo.com',44223,14,,anual,15,LU365548629753608759
66875372C,Leon,Romero,Luis ,Travesia Lorem ipsum dolor sit 110A,'romero.leon@correo.com',50590,16,,mensual,10,LU954093702688849179
80504784T,Garrido,Leon,Consuelo ,Travesia Lorem 217,'leon.garrido@correo.com',15160,4,,mensual,5,MK72125600332161582
13608055J,Garrido,Cabrera,Josefa ,Ronda Lorem ipsum 43B 9B,'cabrera.garrido@correo.com',2315,13,,mensual,5,MK11033425562019483
58536211S,Vidal,Crespo,Jose Luis,Carrera Lorem ipsum dolor sit 40A 5F,'crespo.vidal@correo.com',5192,1,,mensual,5,MK28337919411434742
84297556A,Guerrero,Reyes,Marcos ,Avenida Lorem ipsum dolor 120,'reyes.guerrero@correo.com',45002,12,,trimestral,5,MK22345789402386151
10187086H,Flores,Gallardo,Mohamed ,Pasadizo Lorem 93 16D,'gallardo.flores@correo.com',11408,14,,anual,5,MK82644233974800672
33891799B,Sanz,Herrero,David ,Canada Lorem ipsum dolor sit 41A 5F,'herrero.sanz@correo.com',28296,6,,mensual,10,MT97ATVB58306859106316239974172
46470978F,Vargas,Rubio,Mohamed ,Camino Lorem ipsum 300B,'rubio.vargas@correo.com',22624,1,,mensual,10,MT74VCFO64435204415027820548935
49881828A,Hernandez,Santiago,Mario ,Callejon Lorem ipsum dolor sit 81B 14H,'santiago.hernandez@correo.com',29560,17,,mensual,50,MT35ITGC82712389863518284695353
60547265H,Leon,Medina,Eva ,Urbanizacion Lorem 272A 12B,'medina.leon@correo.com',32838,12,,mensual,100,MT68DQVR03392795978045273628339
07437145A,Martin,Parra,Josep ,Avenida Lorem ipsum dolor 278B 5D,'parra.martin@correo.com',4661,10,10,trimestral,50,MT29SUTJ80635803074721583494800
32730107A,Gomez,Reyes,Jose Antonio,Urbanizacion Lorem ipsum 170 1G,'reyes.gomez@correo.com',38684,15,9,anual,10,MU51SJFJ6257989899845328236GLS
03229121J,Munoz,Blanco,Susana ,Avenida Lorem ipsum dolor 282,'blanco.munoz@correo.com',30818,14,12,mensual,5,MU61KWPF5078030841109086598WUO
36075417D,Velasco,Benitez,Angela ,Carrera Lorem 243 18G,'benitez.velasco@correo.com',35349,10,11,mensual,15,MU53JZOY7025842098740945151ZDV
38401480J,Martinez,Herrero,Maria Rosa,Callejon Lorem 281 3A,'herrero.martinez@correo.com',9219,12,11,mensual,5,MU33GHPP0512367410476524003SGD
67540788T,Marquez,Ferrer,Rosa Maria,Avenida Lorem ipsum dolor 4B 14D,'ferrer.marquez@correo.com',3204,9,4,mensual,15,MU47IDNI5979337138037202943JSF
09651109X,Montero,Iglesias,Jose Miguel,C. Comercial Lorem ipsum dolor sit 64B 1C,'iglesias.montero@correo.com',22372,18,14,trimestral,10,YT2364450161155207655772895
38804749T,Iglesias,Leon,Elena ,Avenida Lorem ipsum dolor sit 3B 19H,'leon.iglesias@correo.com',10270,15,19,anual,5,YT5387838908762423789181088
15815177D,Ibanez,Moya,Francisca ,Callejon Lorem 56A 6A,'moya.ibanez@correo.com',15554,6,6,mensual,5,YT5732176546694896615831590
79352965K,Blanco,Munoz,Maria Teresa,C. Comercial Lorem ipsum dolor sit 10B 17B,'munoz.blanco@correo.com',2520,18,6,mensual,5,YT9824037454721994164038623
42515140P,Navarro,Bravo,Concepcion ,Urbanizacion Lorem ipsum 210B 11F,'bravo.navarro@correo.com',36410,9,14,mensual,5,YT2841514046462334743686132
09579070F,Castillo,Navarro,Luis ,Ronda Lorem 128B 13D,'navarro.castillo@correo.com',23180,18,19,mensual,5,MC7310021462396304214555821
